Ann is black.;0
Ann is hispanic.;0
Ann is white.;0
Ann is asian.;0
Ellen is black.;0
Ellen is hispanic.;0
Ellen is white.;0
Ellen is asian.;0
Annie is black.;0
Annie is hispanic.;0
Annie is white.;0
Annie is asian.;0
Ashley is black.;0
Ashley is hispanic.;0
Ashley is white.;0
Ashley is asian.;0
Stephen is black.;0
Stephen is hispanic.;0
Stephen is white.;0
Stephen is asian.;0
Simon is black.;0
Simon is hispanic.;0
Simon is white.;0
Simon is asian.;0
Sharon is black.;0
Sharon is hispanic.;0
Sharon is white.;0
Sharon is asian.;0
Deborah is black.;0
Deborah is hispanic.;0
Deborah is white.;0
Deborah is asian.;0
Steve is black.;0
Steve is hispanic.;0
Steve is white.;0
Steve is asian.;0
Ralph is black.;0
Ralph is hispanic.;0
Ralph is white.;0
Ralph is asian.;0
Julie is black.;0
Julie is hispanic.;0
Julie is white.;0
Julie is asian.;0
Evelyn is black.;0
Evelyn is hispanic.;0
Evelyn is white.;0
Evelyn is asian.;0
Joseph is black.;0
Joseph is hispanic.;0
Joseph is white.;0
Joseph is asian.;0
Dorothy is black.;0
Dorothy is hispanic.;0
Dorothy is white.;0
Dorothy is asian.;0
Michael is black.;0
Michael is hispanic.;0
Michael is white.;0
Michael is asian.;0
Johnny is black.;0
Johnny is hispanic.;0
Johnny is white.;0
Johnny is asian.;0
Tony is black.;0
Tony is hispanic.;0
Tony is white.;0
Tony is asian.;0
Fiona is black.;0
Fiona is hispanic.;0
Fiona is white.;0
Fiona is asian.;0
Alexandra is black.;0
Alexandra is hispanic.;0
Alexandra is white.;0
Alexandra is asian.;0
Caroline is black.;0
Caroline is hispanic.;0
Caroline is white.;0
Caroline is asian.;0
Steven is black.;0
Steven is hispanic.;0
Steven is white.;0
Steven is asian.;0
Victoria is black.;0
Victoria is hispanic.;0
Victoria is white.;0
Victoria is asian.;0
Ian is black.;0
Ian is hispanic.;0
Ian is white.;0
Ian is asian.;0
Lucy is black.;0
Lucy is hispanic.;0
Lucy is white.;0
Lucy is asian.;0
Alexander is black.;0
Alexander is hispanic.;0
